id,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie
test:100,0.042587798088788986,0.037534233182668686,0.0,0.0,1.0,0.0
test:1002,0.012768340297043324,0.03668024390935898,0.0,0.0,0.0,0.0
test:1007,0.046674471348524094,0.04536779224872589,0.0,0.0,1.0,0.0
test:1009,0.02844565361738205,0.044213466346263885,0.0,0.0,0.0,0.0
test:1015,0.026449380442500114,0.029796099290251732,0.0,0.0,0.0,0.0
test:1019,0.030834488570690155,0.0304853692650795,0.0,0.0,1.0,0.0
test:1036,0.017479710280895233,0.015866074711084366,0.0,0.0,1.0,0.0
test:1037,0.02336476929485798,0.013749729841947556,0.0,0.0,1.0,0.0
test:1038,0.024641022086143494,0.02725192718207836,0.0,0.0,0.0,0.0
test:1039,0.025209501385688782,0.031210333108901978,0.0,0.0,0.0,0.0
test:1045,0.04116295650601387,0.01616520620882511,0.0,0.0,1.0,0.0
test:1063,-0.0016113753663375974,0.04708203673362732,0.0,0.0,0.0,0.0
test:1068,0.04208176210522652,0.04248104989528656,0.0,0.0,0.0,0.0
test:1072,0.041201069951057434,0.01803530752658844,0.0,0.0,1.0,0.0
test:1076,0.03724002093076706,0.025824004784226418,0.0,0.0,1.0,0.0
test:1078,0.029466120526194572,0.03451651334762573,0.0,0.0,0.0,0.0
test:1083,0.09080483764410019,0.09474894404411316,0.0,0.0,0.0,0.0
test:1086,0.040897186845541,0.037044648081064224,0.0,0.0,1.0,0.0
test:1087,0.05046980828046799,0.0521598719060421,0.0,0.0,0.0,0.0
test:109,0.029563112184405327,0.01732722669839859,0.0,0.0,1.0,0.0
test:1093,0.04129748046398163,0.030604345723986626,0.0,0.0,1.0,0.0
test:1101,0.014568733982741833,0.018745293840765953,0.0,0.0,0.0,0.0
test:1102,0.04104384034872055,0.0398552305996418,0.0,0.0,1.0,0.0
test:111,0.06068383529782295,0.04446542263031006,0.0,0.0,1.0,0.0
test:1114,0.06101126968860626,0.07082756608724594,0.0,0.0,0.0,0.0
test:1122,0.03966135531663895,0.0426052063703537,0.0,0.0,0.0,0.0
test:1123,0.026326632127165794,0.022154562175273895,0.0,0.0,1.0,0.0
test:1124,0.016539668664336205,0.015536499209702015,0.0,0.0,1.0,0.0
test:1126,0.06772703677415848,0.05800674483180046,0.0,0.0,1.0,0.0
test:1138,0.020270148292183876,0.011339778080582619,0.0,0.0,1.0,0.0
test:114,0.03163721412420273,0.031230786815285683,0.0,0.0,1.0,0.0
test:1143,0.04428232088685036,0.04516950622200966,0.0,0.0,0.0,0.0
test:1145,0.04901095852255821,0.04536941647529602,0.0,0.0,1.0,0.0
test:1147,0.03004199080169201,0.032993052154779434,0.0,0.0,0.0,0.0
test:1150,0.014053578488528728,0.010610914789140224,0.0,0.0,1.0,0.0
test:1171,0.02699217014014721,0.032836396247148514,0.0,0.0,0.0,0.0
test:1174,0.025878768414258957,0.026852566748857498,0.0,0.0,0.0,0.0
test:1177,0.030963841825723648,0.030335962772369385,0.0,0.0,1.0,0.0
test:1179,0.028947843238711357,0.029099933803081512,0.0,0.0,0.0,0.0
test:1197,0.023731593042612076,0.021593812853097916,0.0,0.0,1.0,0.0
test:120,0.04425707831978798,0.0493888333439827,0.0,0.0,0.0,0.0
test:1201,0.04780704155564308,0.03591059148311615,0.0,0.0,1.0,0.0
test:1203,0.03814532235264778,0.024990171194076538,0.0,0.0,1.0,0.0
test:1205,0.04802662879228592,-0.006557154934853315,0.0,0.0,1.0,0.0
test:1208,0.033550016582012177,0.029105059802532196,0.0,0.0,1.0,0.0
